component_id,lot_id,wafer_id,val_0h,val_24h,val_96h,val_168h,iddq_0h,iddq_24h,tpd_0h,tpd_24h,static_limit,static_pass_0h,static_pass_24h,defect_type,is_defective
IC_2707,LOT_A,W12,10.8917,12.0941,12.8494,13.2114,2.7668,2.8038,11.8282,11.9623,50.0,1,1,normal,0
IC_1212,LOT_E,W17,9.58,10.8178,12.4988,13.88,1.9991,2.0731,11.9889,12.2048,50.0,1,1,normal,0
IC_2923,LOT_D,W14,9.8907,13.5794,35.1832,67.6277,2.6965,2.9409,11.711,12.2851,50.0,1,1,early_drifter,1
IC_1782,LOT_F,W08,11.8348,12.7013,13.5701,14.1218,2.1857,2.2702,13.7206,13.8612,50.0,1,1,normal,0
IC_1893,LOT_A,W12,6.0423,7.184,8.5014,9.3527,2.2061,2.2778,11.6524,11.7856,50.0,1,1,normal,0
IC_3019,LOT_E,W13,9.9207,10.9766,12.3589,13.1478,2.5181,2.567,11.9824,11.9708,50.0,1,1,normal,0
IC_4517,LOT_A,W16,10.3767,11.9809,13.654,14.4269,2.4545,2.5493,10.3048,10.4448,50.0,1,1,normal,0
IC_4960,LOT_F,W15,9.6205,10.4795,11.4127,12.5985,2.3302,2.3031,13.3901,13.4363,50.0,1,1,normal,0
IC_4657,LOT_B,W08,7.1843,8.2791,9.3833,10.4988,1.9615,1.9799,9.4964,9.7238,50.0,1,1,normal,0
IC_3979,LOT_E,W05,10.2473,13.5223,31.4042,55.1339,2.0752,2.2356,12.8261,13.2263,50.0,1,1,early_drifter,1
IC_5197,LOT_F,W10,11.1916,12.2921,13.3827,14.3262,1.8696,1.9113,13.7058,13.725,50.0,1,1,normal,0
IC_3411,LOT_A,W08,11.8369,15.6303,38.2996,68.521,2.8038,3.0082,11.9763,12.6603,50.0,1,1,early_drifter,1
IC_1326,LOT_A,W16,9.1385,10.6187,11.797,12.593,2.629,2.7119,10.3105,10.6278,50.0,1,1,normal,0
IC_3734,LOT_D,W21,10.2663,10.8669,11.9215,12.3054,2.2619,2.2723,11.0497,10.9666,50.0,1,1,normal,0
IC_1442,LOT_E,W18,9.7955,13.1328,30.912,52.1199,1.9802,2.2009,12.9844,13.3978,50.0,1,1,early_drifter,1
IC_2366,LOT_C,W22,9.9064,10.8029,12.4504,13.3377,1.9824,2.0335,11.5177,11.6971,50.0,1,1,normal,0
IC_6754,LOT_E,W14,10.6516,11.8202,14.0449,14.9681,2.248,2.2579,11.4752,11.5346,50.0,1,1,normal,0
IC_2391,LOT_B,W05,8.6372,9.5774,11.0635,11.6778,2.3187,2.3748,11.2727,11.1196,50.0,1,1,normal,0
IC_1769,LOT_F,W23,11.8449,12.5969,13.3207,14.1772,2.3754,2.3617,13.356,13.3177,50.0,1,1,normal,0
IC_2887,LOT_E,W18,10.4877,11.9932,13.2381,14.6202,2.0645,2.222,13.4781,13.7417,50.0,1,1,normal,0
IC_4185,LOT_C,W05,9.4118,11.0824,12.929,14.1593,2.1575,2.2772,9.9265,10.0623,50.0,1,1,normal,0
IC_5769,LOT_D,W14,7.4721,9.0176,10.2716,11.9446,2.5806,2.674,10.7539,10.9635,50.0,1,1,normal,0
IC_4829,LOT_F,W04,9.4217,10.3314,11.6235,12.1386,2.1816,2.2108,13.2417,13.3989,50.0,1,1,normal,0
IC_1190,LOT_C,W08,13.9411,15.3996,16.0619,17.3858,1.9954,2.1089,11.1615,11.3656,50.0,1,1,normal,0
IC_5047,LOT_D,W22,13.1319,14.2372,15.6918,15.8341,2.623,2.7647,12.7295,12.8919,50.0,1,1,normal,0
IC_6517,LOT_E,W16,8.1799,9.4858,10.8888,12.045,2.34,2.4644,12.656,12.6743,50.0,1,1,normal,0
IC_1723,LOT_B,W14,8.5706,10.0558,11.6234,12.6219,2.4541,2.549,10.5128,10.714,50.0,1,1,normal,0
IC_6087,LOT_A,W04,10.7971,11.3046,12.2282,12.9661,2.0477,2.0334,11.1139,11.231,50.0,1,1,normal,0
IC_4933,LOT_C,W12,11.4396,12.3622,13.3199,14.1209,2.3851,2.449,11.6745,11.8203,50.0,1,1,normal,0
IC_2935,LOT_A,W04,7.2897,8.0708,9.2639,10.2714,2.5792,2.6534,11.2607,11.2811,50.0,1,1,normal,0
IC_1284,LOT_D,W12,10.1134,11.2651,11.7125,12.8596,2.5835,2.7083,10.465,10.364,50.0,1,1,normal,0
IC_1918,LOT_C,W13,11.725,13.1869,15.0064,15.7418,2.264,2.3259,11.7671,11.9035,50.0,1,1,normal,0
IC_5934,LOT_B,W24,9.0067,10.3716,11.8079,12.469,2.6049,2.7001,12.6021,12.9119,50.0,1,1,normal,0
IC_6832,LOT_F,W09,9.1023,10.1571,11.1177,11.7497,2.0524,2.1345,11.931,11.9961,50.0,1,1,normal,0
IC_6209,LOT_A,W05,7.6318,9.0375,10.5283,12.124,2.301,2.3939,11.3389,11.5494,50.0,1,1,normal,0
IC_4285,LOT_A,W06,8.3029,9.21,10.3903,11.2414,2.7247,2.8104,11.1182,11.3081,50.0,1,1,normal,0
IC_4575,LOT_A,W05,10.7215,11.498,12.7498,13.1993,2.6511,2.698,11.9094,11.8674,50.0,1,1,normal,0
IC_4036,LOT_E,W18,11.9194,13.3336,15.0859,15.4045,2.4985,2.5616,12.0736,12.3676,50.0,1,1,normal,0
IC_1476,LOT_E,W08,9.3666,10.0656,11.2547,12.3914,2.0656,2.1214,12.0308,12.1159,50.0,1,1,normal,0
IC_3111,LOT_F,W10,9.4248,14.852,46.4768,88.7668,2.3726,2.6696,13.0808,13.721,50.0,1,1,early_drifter,1
IC_5734,LOT_A,W18,10.0431,11.0722,13.1213,13.2086,2.5376,2.5876,11.1255,11.1981,50.0,1,1,normal,0
IC_2180,LOT_E,W03,14.3344,15.4843,16.3721,17.3401,1.829,1.9129,12.7779,12.8473,50.0,1,1,normal,0
IC_5474,LOT_D,W09,10.0415,10.8771,11.8644,12.1072,2.2298,2.3451,11.7688,11.8831,50.0,1,1,normal,0
IC_2481,LOT_D,W17,11.2816,12.4341,13.1271,14.0106,2.7675,2.8238,13.0828,13.1933,50.0,1,1,normal,0
IC_4238,LOT_C,W04,45.4723,47.6328,49.6175,52.2427,4.9343,5.0869,17.7038,17.9164,50.0,1,1,latent_distribution_outlier,1
IC_2200,LOT_E,W05,9.9897,11.1411,12.4405,13.1008,2.5189,2.5928,12.6781,12.8971,50.0,1,1,normal,0
IC_6851,LOT_D,W06,9.1575,10.2131,11.9771,13.0797,2.6429,2.7278,12.8648,12.8976,50.0,1,1,normal,0
IC_3477,LOT_B,W02,11.6531,12.9972,13.821,14.985,2.61,2.6773,12.2376,12.3364,50.0,1,1,normal,0
IC_6016,LOT_A,W13,8.0684,9.4857,10.7632,11.3444,1.9813,2.0522,11.2018,11.4249,50.0,1,1,normal,0
IC_3370,LOT_F,W22,11.0891,12.5981,14.1225,14.7842,1.8741,2.0066,13.9087,14.1217,50.0,1,1,normal,0
IC_4239,LOT_C,W10,10.2884,11.4409,12.5943,13.2907,2.1291,2.1489,12.4688,12.5431,50.0,1,1,normal,0
IC_1800,LOT_F,W04,10.4121,11.5244,13.2473,13.6976,2.1581,2.2211,13.8466,13.9097,50.0,1,1,normal,0
IC_4721,LOT_E,W13,9.143,10.2945,11.5881,12.794,2.1693,2.1912,11.9128,12.273,50.0,1,1,normal,0
IC_3567,LOT_D,W22,10.6332,12.5204,14.0523,15.1413,2.7359,2.8643,11.9842,12.2505,50.0,1,1,normal,0
IC_6616,LOT_A,W23,9.2738,10.7128,11.9227,13.8745,2.4873,2.5802,11.1224,11.2511,50.0,1,1,normal,0
IC_5471,LOT_F,W24,11.0835,12.2347,13.6916,14.3397,2.0315,2.0463,12.8396,12.9781,50.0,1,1,normal,0
IC_1130,LOT_E,W12,10.2389,11.5515,12.4805,13.4128,2.3619,2.462,11.7651,11.9036,50.0,1,1,normal,0
IC_4964,LOT_D,W08,9.7152,10.4484,11.0795,11.794,2.2057,2.2041,11.3417,11.5427,50.0,1,1,normal,0
IC_5709,LOT_A,W10,33.3974,34.4872,35.4038,37.4645,4.4078,4.5122,15.0624,15.4016,50.0,1,1,latent_distribution_outlier,1
IC_3514,LOT_B,W05,9.6249,11.0556,12.2375,13.2107,2.4008,2.518,10.1346,10.1616,50.0,1,1,normal,0
IC_3649,LOT_A,W04,11.9256,13.3516,14.9629,16.1272,2.5637,2.6572,11.7356,11.8854,50.0,1,1,normal,0
IC_5133,LOT_B,W11,11.6307,16.995,46.4152,87.5111,2.9269,3.3116,12.1277,12.6689,50.0,1,1,early_drifter,1
IC_5267,LOT_D,W19,7.9839,9.4866,11.0333,11.3234,2.3548,2.4559,11.9348,12.0544,50.0,1,1,normal,0
IC_6401,LOT_C,W21,10.7089,12.1958,13.5011,14.8988,2.2062,2.2914,11.3259,11.5428,50.0,1,1,normal,0
IC_3070,LOT_D,W20,9.0844,10.3158,12.3348,13.3124,2.273,2.3695,12.3281,12.3736,50.0,1,1,normal,0
IC_1998,LOT_D,W20,9.2808,10.9714,12.4771,13.2331,2.2009,2.3127,11.4152,11.6459,50.0,1,1,normal,0
IC_6399,LOT_B,W07,5.1972,5.9203,7.1611,8.5382,2.2493,2.2618,10.2955,10.3729,50.0,1,1,normal,0
IC_1691,LOT_D,W08,10.3197,11.444,12.8655,13.6122,2.3693,2.444,12.5865,12.5942,50.0,1,1,normal,0
IC_5896,LOT_A,W02,9.1981,10.2638,11.0619,11.7982,2.4935,2.536,10.375,10.5578,50.0,1,1,normal,0
IC_3114,LOT_D,W01,39.919,41.2581,43.4998,45.351,4.5696,4.5773,17.3807,17.577,50.0,1,1,latent_distribution_outlier,1
IC_6446,LOT_E,W06,8.1455,9.4959,10.8249,10.877,2.078,2.1618,11.9741,12.1346,50.0,1,1,normal,0
IC_6014,LOT_A,W23,9.0953,10.4406,11.6333,12.9531,2.7401,2.8376,10.9919,11.1849,50.0,1,1,normal,0
IC_5610,LOT_B,W11,9.444,10.3391,11.1836,11.6588,2.3507,2.4156,10.9664,11.0461,50.0,1,1,normal,0
IC_1475,LOT_D,W16,10.9189,12.4808,14.5771,15.4271,2.597,2.6667,11.4668,11.6377,50.0,1,1,normal,0
IC_6129,LOT_B,W16,7.238,8.3396,9.9002,10.4777,2.4179,2.4752,10.1954,10.3342,50.0,1,1,normal,0
IC_3927,LOT_A,W06,8.1008,9.6453,11.0986,12.4879,2.5744,2.6455,11.8992,12.0945,50.0,1,1,normal,0
IC_1504,LOT_F,W22,11.6155,12.4803,13.3257,13.8402,1.5789,1.6017,11.9612,11.9642,50.0,1,1,normal,0
IC_3618,LOT_C,W18,11.5784,12.718,13.5607,14.4323,1.944,1.9922,12.278,12.3121,50.0,1,1,normal,0
IC_4693,LOT_A,W09,41.9116,42.6956,44.7719,44.5994,5.5223,5.6141,16.0908,16.0576,50.0,1,1,latent_distribution_outlier,1
IC_1881,LOT_E,W21,12.1202,13.8741,15.417,15.9544,2.064,2.1312,13.4586,13.5333,50.0,1,1,normal,0
IC_3591,LOT_B,W18,7.9107,13.8315,47.2789,91.3858,2.6814,3.0765,10.0087,10.6953,50.0,1,1,early_drifter,1
IC_2061,LOT_F,W18,12.0113,13.3717,14.011,15.1457,2.3496,2.4084,12.9581,13.043,50.0,1,1,normal,0
IC_5234,LOT_F,W07,9.5132,11.2332,13.226,13.6535,1.9832,2.14,15.0151,15.2256,50.0,1,1,normal,0
IC_6779,LOT_D,W09,10.0949,11.2608,12.0206,13.1068,2.8524,2.9153,11.4902,11.6123,50.0,1,1,normal,0
IC_1521,LOT_A,W17,8.3741,9.6357,11.0549,12.2649,2.5844,2.6387,10.3753,10.5095,50.0,1,1,normal,0
IC_3050,LOT_B,W09,5.8618,7.1409,7.7541,8.0985,2.0989,2.1724,11.0817,11.4353,50.0,1,1,normal,0
IC_6929,LOT_A,W16,32.4837,34.1379,36.0371,37.8927,4.5768,4.609,14.7341,14.8989,50.0,1,1,latent_distribution_outlier,1
IC_6693,LOT_A,W02,9.3485,10.08,11.0718,11.8644,2.4776,2.5604,10.2273,10.3754,50.0,1,1,normal,0
IC_1644,LOT_D,W17,78.6792,81.9587,91.1252,107.7215,8.2015,8.4201,21.8404,22.3662,50.0,0,0,gross_failure,1
IC_1013,LOT_A,W24,39.4145,41.3026,43.416,44.7201,5.0637,5.1676,15.6774,15.8554,50.0,1,1,latent_distribution_outlier,1
IC_3484,LOT_B,W24,8.4863,9.7227,11.0723,11.6025,2.2553,2.3367,10.5005,10.364,50.0,1,1,normal,0
IC_4286,LOT_E,W20,9.0207,10.1788,11.7034,12.6935,2.3544,2.4545,12.9155,12.9679,50.0,1,1,normal,0
IC_5198,LOT_B,W06,10.5684,12.1104,13.9572,15.1858,2.8442,2.954,10.2416,10.5242,50.0,1,1,normal,0
IC_6101,LOT_F,W10,12.4728,14.1313,16.0252,16.4925,2.1773,2.2725,14.1293,14.3311,50.0,1,1,normal,0
IC_5015,LOT_B,W12,12.3622,13.4265,14.7153,14.9097,3.1444,3.173,12.4035,12.5186,50.0,1,1,normal,0
IC_6881,LOT_B,W15,9.7515,10.765,11.5942,11.6242,2.2095,2.2542,10.8772,10.921,50.0,1,1,normal,0
IC_6135,LOT_B,W19,5.4681,6.4764,7.6734,8.2114,2.2556,2.2668,9.4879,9.5125,50.0,1,1,normal,0
IC_4427,LOT_A,W11,9.9793,11.0632,12.2765,12.6545,2.7573,2.7862,11.6491,11.8009,50.0,1,1,normal,0
IC_5123,LOT_D,W06,7.6284,9.1906,10.3521,11.7545,2.0768,2.1485,12.4066,12.4973,50.0,1,1,normal,0
IC_5640,LOT_A,W04,9.0919,10.6436,12.3336,12.5981,2.7246,2.7862,12.7599,12.9768,50.0,1,1,normal,0
IC_5867,LOT_F,W12,10.295,11.3345,11.9867,13.1645,1.973,2.0059,13.6912,13.83,50.0,1,1,normal,0
IC_3172,LOT_E,W09,73.3897,77.3933,85.9756,97.1297,7.275,7.4875,21.8303,22.1862,50.0,0,0,gross_failure,1
IC_4013,LOT_E,W10,10.1452,11.4914,13.1115,13.9038,1.9252,1.9815,13.2915,13.4832,50.0,1,1,normal,0
IC_3598,LOT_F,W04,39.92,41.4274,42.3735,44.2635,4.3492,4.4707,18.114,18.2977,50.0,1,1,latent_distribution_outlier,1
IC_6897,LOT_C,W02,11.4875,13.308,14.8175,16.2082,2.0891,2.2137,11.4876,11.8737,50.0,1,1,normal,0
IC_6813,LOT_A,W16,7.738,8.9816,10.0888,10.523,2.5637,2.6205,9.6698,9.6865,50.0,1,1,normal,0
IC_1984,LOT_B,W21,11.3747,12.3348,13.2919,13.641,2.4057,2.4874,11.2841,11.3187,50.0,1,1,normal,0
IC_2529,LOT_D,W18,9.1671,10.8446,12.7059,13.7241,2.3423,2.4207,11.6062,11.9121,50.0,1,1,normal,0
IC_2321,LOT_E,W10,13.6419,15.4527,16.7371,17.8717,3.124,3.2347,12.6196,12.858,50.0,1,1,normal,0
IC_5600,LOT_D,W08,8.1567,9.2482,10.5229,10.6967,2.3354,2.368,12.3514,12.4052,50.0,1,1,normal,0
IC_6460,LOT_F,W16,37.9045,40.1052,42.6694,44.0479,4.4852,4.6873,16.7909,16.9451,50.0,1,1,latent_distribution_outlier,1
IC_1827,LOT_D,W06,11.1318,12.3918,13.0174,14.2431,2.3724,2.4512,12.0194,12.1291,50.0,1,1,normal,0
IC_2109,LOT_C,W19,38.4004,39.4814,40.6959,42.3352,4.238,4.3056,17.3083,17.4603,50.0,1,1,latent_distribution_outlier,1
IC_6501,LOT_B,W14,6.4169,7.617,9.4946,10.0533,2.5296,2.5996,10.3954,10.4073,50.0,1,1,normal,0
IC_5946,LOT_F,W18,40.9721,42.2187,43.7592,44.7706,5.0394,5.0547,18.3794,18.5122,50.0,1,1,latent_distribution_outlier,1
IC_5592,LOT_B,W10,6.6772,8.0696,9.5506,10.7127,2.1517,2.2592,10.3558,10.4583,50.0,1,1,normal,0
IC_6544,LOT_B,W09,11.5277,12.4271,13.6094,14.119,2.3076,2.3954,12.6441,12.7167,50.0,1,1,normal,0
IC_4365,LOT_D,W07,10.9803,12.3118,13.3626,14.4174,2.5588,2.6317,11.4042,11.722,50.0,1,1,normal,0
IC_5281,LOT_B,W16,7.6237,14.2659,49.5395,98.5957,2.536,2.9182,11.172,11.957,50.0,1,1,early_drifter,1
IC_3343,LOT_F,W16,10.7885,11.846,12.999,14.0408,2.3509,2.3397,13.4908,13.6866,50.0,1,1,normal,0
IC_5235,LOT_D,W16,9.6436,10.8289,12.2524,12.9621,2.4711,2.5644,12.4418,12.6163,50.0,1,1,normal,0
IC_6138,LOT_F,W21,9.9639,10.7896,11.8415,12.458,2.1844,2.2243,14.1998,14.329,50.0,1,1,normal,0
IC_2578,LOT_D,W02,11.9975,13.4079,15.116,15.7076,2.7437,2.8134,12.2828,12.247,50.0,1,1,normal,0
IC_4982,LOT_B,W10,6.9205,8.1607,9.4273,11.009,2.2334,2.3145,12.5147,12.6406,50.0,1,1,normal,0
IC_2629,LOT_F,W23,11.0845,11.8412,13.162,13.7309,2.2819,2.3297,13.6883,13.5647,50.0,1,1,normal,0
IC_6493,LOT_C,W19,10.3657,11.5828,12.7063,13.1338,2.3949,2.4585,11.5515,11.4432,50.0,1,1,normal,0
IC_5722,LOT_E,W08,7.5782,8.5389,9.4652,9.212,2.0007,2.0616,11.9114,11.9119,50.0,1,1,normal,0
IC_6820,LOT_D,W03,8.3822,9.7102,11.2331,12.6027,2.5265,2.5727,10.4359,10.5835,50.0,1,1,normal,0
IC_2681,LOT_A,W15,6.8417,7.606,8.9603,9.2623,2.6109,2.6222,11.7888,11.9797,50.0,1,1,normal,0
IC_6334,LOT_D,W05,11.1036,14.918,38.0437,66.1361,2.6598,2.8551,11.6462,12.0379,50.0,1,1,early_drifter,1
IC_1258,LOT_F,W04,11.1708,12.2117,13.0962,14.0164,2.7107,2.7773,13.6319,13.6679,50.0,1,1,normal,0
IC_6549,LOT_F,W21,9.4998,10.1906,11.5566,12.9435,2.5898,2.671,13.3338,13.4834,50.0,1,1,normal,0
IC_4854,LOT_A,W21,11.9442,13.1544,14.7306,15.0059,2.4954,2.5668,11.0251,11.305,50.0,1,1,normal,0
IC_5978,LOT_B,W06,7.0,13.3767,48.9656,96.8406,1.9384,2.3245,11.3212,12.2427,50.0,1,1,early_drifter,1
IC_5385,LOT_D,W02,9.5126,11.0068,12.8037,13.5012,2.2123,2.3287,11.7491,11.9194,50.0,1,1,normal,0
IC_3784,LOT_A,W18,9.8127,10.7689,11.6475,12.0279,2.8569,2.8993,11.7007,11.8704,50.0,1,1,normal,0
IC_2870,LOT_E,W18,8.7401,9.8239,11.291,11.4473,2.1478,2.2345,11.9044,12.2175,50.0,1,1,normal,0
IC_1422,LOT_D,W22,9.1802,10.7949,12.3866,13.747,2.1629,2.2346,10.3254,10.6284,50.0,1,1,normal,0
IC_4713,LOT_F,W09,11.8793,13.1555,13.8922,14.2797,2.7044,2.8181,14.0527,14.2136,50.0,1,1,normal,0
IC_3985,LOT_E,W10,10.2587,11.0668,11.7762,12.1439,2.0202,2.0933,13.0606,13.1784,50.0,1,1,normal,0
IC_2550,LOT_D,W16,8.506,9.9288,11.3713,11.929,2.3633,2.428,11.719,11.8668,50.0,1,1,normal,0
IC_5930,LOT_D,W02,11.2343,12.0145,12.6006,13.2208,2.6392,2.7326,10.595,10.7025,50.0,1,1,normal,0
IC_5163,LOT_E,W16,9.3792,10.9714,12.4053,13.9941,2.0692,2.1944,12.4153,12.6238,50.0,1,1,normal,0
IC_2580,LOT_A,W23,9.0915,10.5193,11.8879,11.8229,3.0359,3.0985,11.291,11.3253,50.0,1,1,normal,0
IC_5111,LOT_C,W03,8.9426,13.7955,40.1956,74.2743,2.0921,2.3786,11.2012,11.7671,50.0,1,1,early_drifter,1
IC_2185,LOT_C,W10,9.0413,9.8555,11.4507,11.4453,2.1843,2.2548,11.397,11.4728,50.0,1,1,normal,0
IC_3553,LOT_C,W02,10.0863,11.8585,13.495,14.6763,2.0544,2.1203,11.1484,11.3883,50.0,1,1,normal,0
IC_4461,LOT_A,W17,10.7665,11.907,13.4297,14.4174,2.4646,2.5302,11.7278,11.9413,50.0,1,1,normal,0
IC_5204,LOT_C,W13,12.1131,13.2617,14.107,14.9291,1.9571,2.0116,11.5227,11.7903,50.0,1,1,normal,0
IC_4707,LOT_D,W12,10.4215,12.0305,13.769,14.7581,2.6562,2.77,11.7249,11.7634,50.0,1,1,normal,0
IC_1718,LOT_B,W23,9.448,10.7428,12.0594,13.3592,2.5921,2.7116,10.586,10.899,50.0,1,1,normal,0
IC_3579,LOT_C,W03,10.9086,15.087,39.3337,70.8494,2.2389,2.5052,10.9429,11.5022,50.0,1,1,early_drifter,1
IC_2917,LOT_E,W03,13.5674,14.4182,15.4887,16.121,2.3444,2.4179,13.2223,13.0216,50.0,1,1,normal,0
IC_6104,LOT_D,W09,13.9744,15.6172,17.0161,18.682,2.8822,2.9403,13.0264,13.0884,50.0,1,1,normal,0
IC_2363,LOT_D,W22,10.8547,12.5783,14.1011,15.4843,2.6667,2.7583,11.1066,11.242,50.0,1,1,normal,0
IC_3128,LOT_E,W20,41.6452,43.6042,45.1912,45.7763,5.0344,5.1718,17.0268,17.2889,50.0,1,1,latent_distribution_outlier,1
IC_5362,LOT_A,W20,8.0598,9.2049,10.4191,11.4906,2.3495,2.3735,11.4571,11.6237,50.0,1,1,normal,0
IC_2890,LOT_B,W09,7.7047,8.7046,9.9774,10.4271,2.3319,2.3897,10.7643,10.9747,50.0,1,1,normal,0
IC_5858,LOT_C,W18,11.6638,12.2114,13.518,13.7092,2.341,2.397,12.9449,12.9435,50.0,1,1,normal,0
IC_2410,LOT_F,W12,8.9488,10.3174,11.3334,12.8284,2.2696,2.3491,12.5145,12.663,50.0,1,1,normal,0
IC_1540,LOT_E,W08,8.6407,9.8647,10.4676,10.773,2.0945,2.1361,11.9805,12.1463,50.0,1,1,normal,0
IC_1433,LOT_D,W19,9.3256,10.4562,12.5665,12.5983,2.4745,2.5705,12.7975,12.9107,50.0,1,1,normal,0
IC_5808,LOT_D,W16,13.3649,14.7591,16.35,16.8758,2.2952,2.3422,13.3006,13.3438,50.0,1,1,normal,0
IC_1451,LOT_D,W13,10.5416,11.2146,12.069,12.5561,2.3215,2.3248,13.3218,13.5086,50.0,1,1,normal,0
IC_1414,LOT_D,W06,8.8485,10.5797,12.0174,13.1301,2.2263,2.3365,12.3877,12.7453,50.0,1,1,normal,0
IC_4858,LOT_D,W04,10.1435,11.7634,13.8541,14.3533,2.5933,2.7097,12.7816,12.8787,50.0,1,1,normal,0
IC_5656,LOT_A,W15,11.0703,12.6259,14.4285,15.5692,2.7099,2.7941,11.6513,11.8989,50.0,1,1,normal,0
IC_1010,LOT_C,W17,12.2554,14.0729,15.107,15.3248,2.2742,2.3956,12.8718,12.9556,50.0,1,1,normal,0
IC_4600,LOT_E,W06,7.6131,11.3244,32.6568,61.7017,1.4311,1.6226,12.3638,12.7376,50.0,1,1,early_drifter,1
IC_4418,LOT_F,W08,9.3902,10.4761,11.7676,12.7254,2.0419,2.1408,12.9766,13.0593,50.0,1,1,normal,0
IC_6345,LOT_F,W13,11.4474,12.7697,13.6543,14.7312,1.9369,1.9893,13.818,13.8667,50.0,1,1,normal,0
IC_3032,LOT_A,W08,6.0261,7.5627,9.1776,11.1026,2.4089,2.5306,10.375,10.5192,50.0,1,1,normal,0
IC_3609,LOT_A,W09,10.3284,11.9424,13.1806,14.0794,2.3521,2.4019,10.1756,10.5379,50.0,1,1,normal,0
IC_6343,LOT_F,W23,9.4888,10.8862,12.8531,13.7213,2.5797,2.6767,12.6288,12.8863,50.0,1,1,normal,0
IC_3823,LOT_E,W16,12.2664,14.0555,15.3982,16.1167,2.2024,2.2985,12.3506,12.6159,50.0,1,1,normal,0
IC_6810,LOT_B,W16,9.5234,10.5098,11.2184,11.9667,2.2744,2.3226,11.229,11.4878,50.0,1,1,normal,0
IC_5730,LOT_B,W23,8.7645,14.1732,43.8391,86.3342,2.5824,2.9438,11.65,12.1435,50.0,1,1,early_drifter,1
IC_2103,LOT_A,W19,12.3972,13.6749,13.9555,15.2235,2.5309,2.5973,12.4166,12.5385,50.0,1,1,normal,0
IC_5357,LOT_A,W09,13.0445,14.6583,16.5697,17.6853,2.8641,2.9834,11.74,11.8585,50.0,1,1,normal,0
IC_1942,LOT_C,W08,12.7605,13.5407,15.0729,15.7435,2.596,2.6429,10.5174,10.5358,50.0,1,1,normal,0
IC_1169,LOT_A,W13,7.7828,8.8086,10.1859,10.7398,2.419,2.5701,11.6821,11.8534,50.0,1,1,normal,0
IC_2502,LOT_A,W06,10.6742,11.4443,11.8903,13.262,2.3398,2.3941,11.9578,11.9722,50.0,1,1,normal,0
IC_1495,LOT_F,W16,10.4732,12.1023,13.4799,13.8343,1.9966,2.1826,14.5668,14.7864,50.0,1,1,normal,0
IC_3251,LOT_A,W17,11.9886,12.9566,13.6357,14.3865,2.5152,2.5909,12.3797,12.4088,50.0,1,1,normal,0
IC_4980,LOT_B,W12,10.4758,11.8838,13.1428,13.5061,2.3194,2.4104,9.3624,9.487,50.0,1,1,normal,0
